Iteración,10^1,10^2,10^3,10^4,10^5,10^6
1,325.000,470.000,404.000,593.000,475.000,1026.000
2,434.000,489.000,384.000,325.000,360.000,1039.000
3,419.000,477.000,469.000,433.000,559.000,1018.000
4,434.000,579.000,323.000,662.000,551.000,1028.000
5,416.000,496.000,356.000,369.000,523.000,1070.000
6,419.000,308.000,316.000,625.000,546.000,1018.000
7,476.000,516.000,525.000,539.000,481.000,1248.000
8,470.000,517.000,659.000,513.000,589.000,896.000
9,376.000,453.000,417.000,554.000,516.000,1033.000
10,427.000,524.000,497.000,512.000,370.000,746.000
